City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
Mackay,40,AU,1632688980,94,-21.15,149.2,70.05,5.75
Honningsvåg,75,NO,1632688980,76,70.9821,25.9704,47.95,3.44
Logansport,1,US,1632688980,34,40.7545,-86.3567,79.52,13.8
Grand Gaube,40,MU,1632688980,88,-20.0064,57.6608,70.2,5.01
Abu Samrah,8,SY,1632688981,28,35.3029,37.1841,72.86,3.65
Caxito,53,AO,1632688981,84,-8.5785,13.6643,75.85,4.12
Provincia di Vicenza,100,IT,1632688982,78,45.6667,11.45,67.69,2.08
Lethem,88,GY,1632688982,52,3.3803,-59.7968,89.06,2.53
Redmond,100,US,1632688934,74,47.674,-122.1215,65.28,3.11
Portland,20,US,1632688548,54,45.5234,-122.6762,74.46,3.0
Donskoye,100,RU,1632688982,82,45.4552,41.9741,59.13,22.44
Kirakira,90,SB,1632688983,82,-10.4544,161.9205,80.67,8.57
Padang,100,ID,1632688983,93,-0.9492,100.3543,76.08,1.48
Svarstad,93,NO,1632688983,58,59.399,9.9698,53.26,0.56
Trelew,21,AR,1632688984,15,-43.249,-65.3051,58.73,16.73
Wanning,15,CN,1632688984,87,18.8003,110.3967,78.4,2.51
Khovd,20,MN,1632688984,28,48.0056,91.6419,40.24,0.6
Luanda,20,AO,1632688985,83,-8.8368,13.2343,75.2,5.75
Cuencamé de Ceniceros,89,MX,1632688985,35,24.8711,-103.6964,81.72,6.04
Airai,52,TL,1632688986,70,-8.9266,125.4092,57.69,2.44
Laas,100,IT,1632688986,96,46.6166,10.7002,61.68,3.06
Rurrenabaque,46,BO,1632688986,24,-14.4413,-67.5278,100.53,4.81
Saint Paul Harbor,1,US,1632688987,53,57.79,-152.4072,49.51,18.41
Vestmannaeyjar,97,IS,1632688987,81,63.4427,-20.2734,42.82,5.77
Svetlaya,12,RU,1632688987,65,46.5389,138.3297,52.3,3.71
Sibolga,98,ID,1632688988,91,1.7427,98.7792,75.99,2.64
Yining,14,CN,1632688988,88,29.0361,114.5636,76.14,1.16
Erzin,0,TR,1632688989,30,36.9559,36.2,73.0,3.67
Kangaatsiaq,0,GL,1632688989,49,68.3065,-53.4641,24.26,10.51
Zeya,100,RU,1632688989,94,53.75,127.2667,51.93,11.54
Fort Nelson,75,CA,1632688990,46,58.8053,-122.7002,49.59,6.91
Savinka,88,RU,1632688990,83,50.0785,47.0994,51.4,15.5
Burnie,62,AU,1632688990,85,-41.0667,145.9167,44.22,5.37
Gurkovo,0,BG,1632688892,62,42.6667,25.8,63.5,1.36
San Miguel,20,SV,1632688991,57,13.4833,-88.1833,94.48,0.0
Mazatlán,40,MX,1632688763,77,23.2167,-106.4167,87.76,4.0
Alțâna,10,RO,1632688991,72,45.9333,24.4667,52.72,2.89
Seymchan,19,RU,1632688992,72,62.8833,152.4333,31.51,3.8
San Cristobal,85,VE,1632688727,47,7.7669,-72.225,91.58,7.14
Forsytheganj,0,BY,1632688993,93,52.6333,29.7333,43.56,6.85
Beringovskiy,99,RU,1632688993,81,63.05,179.3167,36.37,2.17
Walvis Bay,3,NA,1632688993,82,-22.9575,14.5053,56.35,6.91
Jérémie,36,HT,1632688994,77,18.65,-74.1167,84.06,3.94
Black River,22,JM,1632688994,64,18.0264,-77.8487,87.8,4.94
Kidal,0,ML,1632688995,12,18.4411,1.4078,90.37,10.33
San Patricio,10,US,1632688995,38,28.017,-97.5169,90.32,12.21
Teya,100,RU,1632688995,93,60.3778,92.6267,35.38,5.77
Kaitangata,13,NZ,1632688996,77,-46.2817,169.8464,46.92,4.83
Liverpool,100,GB,1632688865,78,53.4106,-2.9779,65.17,5.99
Severo-Kuril'sk,94,RU,1632688996,92,50.6789,156.125,49.66,10.92
Saint-Augustin,100,CA,1632688997,98,51.226,-58.6502,57.18,5.26
Arandis,0,NA,1632688997,56,-22.4167,14.9667,61.61,3.8
Baculin,97,PH,1632688997,85,7.4525,126.5842,77.54,4.59
Touros,4,BR,1632688998,81,-5.1989,-35.4608,81.5,16.96
Provideniya,75,RU,1632688998,81,64.3833,-173.3,37.51,8.95
Nemuro,18,JP,1632688998,84,43.3236,145.575,56.68,10.76
Uelzen,74,DE,1632688999,84,52.9667,10.5667,67.05,2.33
Yishui,100,CN,1632688999,98,35.7847,118.6281,67.5,4.5
Falam,82,MM,1632688999,94,22.9167,93.6833,61.3,0.27
Clyde River,43,CA,1632689000,83,70.4692,-68.5914,28.54,6.04
Atchison,0,US,1632689000,13,39.563,-95.1216,94.82,23.33
Gōtsuchō,17,JP,1632689000,90,35.0,132.2167,66.72,7.14
Pangai,75,TO,1632689001,57,-19.8,-174.35,75.31,4.61
Tilichiki,100,RU,1632689001,95,60.4667,166.1,39.54,5.21
Ritchie,2,ZA,1632689001,12,-29.038,24.6028,65.41,2.86
Deloraine,47,AU,1632689002,17,-41.5333,146.6667,39.99,1.54
Djibo,74,BF,1632689002,25,14.1022,-1.6306,94.15,1.59
Mizdah,98,LY,1632689002,44,31.4451,12.9801,72.54,8.55
Necochea,100,AR,1632689002,70,-38.5473,-58.7368,51.04,13.33
Nuuk,0,GL,1632689003,57,64.1835,-51.7216,31.87,5.99
La Ronge,75,CA,1632689003,55,55.1001,-105.2842,61.05,3.44
Fomboni,6,KM,1632689003,68,-12.28,43.7425,76.14,4.52
Srednekolymsk,100,RU,1632689004,97,67.45,153.6833,32.92,19.84
Shymkent,0,KZ,1632689004,22,42.3,69.6,66.79,11.18
Kharp,49,RU,1632689005,88,66.8014,65.8081,28.98,2.73
Shibetsu,9,JP,1632689005,92,43.659,145.132,53.02,7.09
Dongli,20,CN,1632689005,100,23.5656,116.8194,75.18,2.24
Tocopilla,15,CL,1632689006,70,-22.092,-70.1979,64.67,6.53
Okhotsk,5,RU,1632689006,64,59.3833,143.3,41.14,9.08
Ust-Kuyga,100,RU,1632689006,98,70.0167,135.6,33.12,10.6
Codrington,96,AU,1632689007,78,-38.2667,141.9667,43.54,7.74
Endirey,0,RU,1632689007,50,43.1632,46.654,56.21,6.51
Tamandaré,28,BR,1632688944,87,-8.7597,-35.1047,75.65,12.08
Hirara,8,JP,1632689007,79,24.8,125.2833,82.76,13.02
Dawei,100,MM,1632689008,97,14.0833,98.2,73.83,3.69
Mirpur Sakro,20,PK,1632689008,74,24.5474,67.6277,84.42,9.64
College,75,US,1632688717,82,64.8569,-147.8028,34.29,3.44
Mountain Home,1,US,1632689009,13,43.133,-115.6912,81.34,0.0
Praia da Vitória,75,PT,1632689009,83,38.7333,-27.0667,68.25,20.62
Beloha,33,MG,1632689009,69,-25.1667,45.05,71.02,7.72
São João da Barra,2,BR,1632689010,80,-21.6403,-41.0511,75.29,19.62
Byron Bay,100,AU,1632689010,63,-28.65,153.6167,58.89,11.3
Mount Isa,0,AU,1632689010,22,-20.7333,139.5,64.17,4.61
Waipawa,99,NZ,1632689011,90,-41.4122,175.5153,46.02,9.6
Sisimiut,0,GL,1632689011,52,66.9395,-53.6735,28.69,7.78
Manokwari,16,ID,1632689012,81,-0.8667,134.0833,77.85,2.98
Philadelphia,20,US,1632688817,42,39.9523,-75.1638,74.5,5.01
Palmeirais,19,BR,1632689013,26,-5.9778,-43.0633,91.85,4.29
Whitianga,76,NZ,1632689013,58,-36.8333,175.7,56.01,5.12
Lermontovka,96,RU,1632689014,91,47.1453,134.3383,54.73,4.18
Patnāgarh,100,IN,1632689014,95,20.7167,83.15,74.39,12.03
Warmbad,34,NA,1632689014,21,-28.45,18.7333,76.23,10.18
Tupik,98,RU,1632689015,92,54.4253,119.9327,45.18,6.91
Champerico,87,GT,1632689015,71,14.3,-91.9167,84.34,6.04
Lachi,0,PK,1632689015,51,33.3833,71.3386,81.14,2.64
Chumikan,93,RU,1632689016,74,54.7183,135.315,47.84,5.23
Conde,75,BR,1632689016,94,-7.2597,-34.9075,74.66,14.97
Esim,100,GH,1632689016,90,4.8699,-2.2405,75.47,7.27
Tabuk,19,PH,1632689017,93,17.4189,121.4443,73.45,1.28
Naze,17,JP,1632689017,82,28.3667,129.4833,77.38,12.1
Hanko,14,FI,1632689017,76,59.8333,22.95,50.85,2.53
Tegul'det,42,RU,1632689018,97,57.3064,88.1667,31.19,5.77
Eirunepé,97,BR,1632689018,66,-6.6603,-69.8736,83.26,2.71
Henties Bay,0,NA,1632689018,89,-22.116,14.2845,56.62,4.41
Nizwá,73,OM,1632689019,51,22.9333,57.5333,84.78,4.52
Olafsvik,100,IS,1632689019,87,64.8945,-23.7142,40.19,42.75
San Carlos,100,VE,1632689019,77,9.6612,-68.5827,82.62,2.51
Qaqortoq,1,GL,1632689020,61,60.7167,-46.0333,43.3,0.96
Lata,100,PT,1632689020,93,40.1629,-8.3327,65.91,0.94
Piraí,100,BR,1632689021,93,-22.6292,-43.8981,72.54,2.15
Rome,75,US,1632689021,52,43.2128,-75.4557,68.95,11.5
Majene,77,ID,1632689021,84,-3.5403,118.9707,76.46,7.29
Los Llanos de Aridane,75,ES,1632689022,88,28.6585,-17.9182,71.35,8.05
Tuatapere,6,NZ,1632689022,62,-46.1333,167.6833,41.83,3.78
Mapiripán,21,CO,1632689022,56,2.8892,-72.1256,87.75,3.09
Keti Bandar,100,PK,1632689023,78,24.1447,67.4497,82.49,7.76
Tortolì,40,IT,1632689023,78,39.9256,9.6572,75.02,0.0
Bac Lieu,33,VN,1632689024,86,9.285,105.7244,78.84,6.44
Pisco,0,PE,1632688928,64,-13.7,-76.2167,68.05,19.57
Gumdag,2,TM,1632689024,58,39.2061,54.5906,62.2,5.35
San Policarpo,100,PH,1632689024,86,12.1791,125.5072,77.61,4.05
Norsup,48,VU,1632689025,78,-16.0667,167.3833,77.41,8.43
Makkah al Mukarramah,5,SA,1632688936,53,21.4267,39.8261,85.89,4.54
Ixtapa,97,MX,1632689025,77,20.7,-105.2,87.22,4.0
Puerto Madryn,0,AR,1632688896,21,-42.7692,-65.0385,57.7,16.58
Qasigiannguit,0,GL,1632689026,75,68.8193,-51.1922,21.45,1.66
Sobolevo,27,RU,1632689026,94,54.4299,31.8996,44.4,10.92
Larreynaga,99,NI,1632689026,71,12.6769,-86.5719,91.2,2.35
Casa Nova,0,BR,1632689027,42,-9.4167,-41.1333,93.18,13.91
Ballina,90,AU,1632689027,88,-28.8667,153.5667,58.96,6.91
Honiara,97,SB,1632689027,80,-9.4333,159.95,80.92,3.87
Damāvand,0,IR,1632689028,47,35.7178,52.065,53.44,6.04
Hamilton,1,US,1632689028,41,39.1834,-84.5333,77.65,1.99
Sokur,100,RU,1632689028,98,55.2093,83.319,37.76,9.6
Piranhas,50,BR,1632689029,57,-16.4269,-51.8222,78.04,12.91
Östersund,0,SE,1632689029,71,63.1792,14.6357,52.61,16.11
Merauke,74,ID,1632689029,91,-8.4667,140.3333,76.28,9.73
Hofn,60,IS,1632689030,73,64.2539,-15.2082,44.55,4.03
Japura,99,ID,1632689030,99,-0.3167,102.35,72.41,2.17
Leshukonskoye,100,RU,1632689030,97,64.8989,45.7622,44.53,3.04
Nhulunbuy,54,AU,1632689030,88,-12.2333,136.7667,75.81,2.3
Santa Cruz de la Sierra,9,BO,1632689031,40,-17.8,-63.1667,93.25,18.41
San Quintín,6,MX,1632689031,65,30.4833,-115.95,72.14,12.66
Port Augusta,51,AU,1632689032,40,-32.5,137.7667,44.74,7.96
Boyolangu,78,ID,1632689032,91,-8.1181,111.8935,73.02,2.77
Salalah,20,OM,1632689032,89,17.0151,54.0924,82.49,6.91
Rawson,9,AR,1632689033,22,-43.3002,-65.1023,57.49,14.76
Tecolutla,69,MX,1632689033,71,20.4833,-97.0167,82.18,9.4
Neiafu,20,TO,1632689033,68,-18.65,-173.9833,74.08,2.3
Sanmenxia,100,CN,1632689034,98,34.7747,111.1814,63.25,2.66
Khilok,44,RU,1632689034,88,51.3674,110.4676,30.38,3.67
Negombo,75,LK,1632688865,78,7.2083,79.8358,80.65,13.8
Pacific Grove,40,US,1632689035,76,36.6177,-121.9166,79.61,5.01
Simacota,83,CO,1632689035,60,6.4429,-73.3369,81.63,3.67
Placerville,1,US,1632688854,27,38.7296,-120.7986,88.75,1.99
Grindavik,75,IS,1632689035,81,63.8424,-22.4338,44.55,27.63
Gold Coast,75,AU,1632689036,94,-28.0,153.4333,62.24,4.0
The Valley,40,AI,1632688872,74,18.217,-63.0578,85.86,8.05
Havøysund,100,NO,1632689036,89,70.9963,24.6622,50.88,7.81
Iquitos,40,PE,1632689036,55,-3.7481,-73.2472,89.64,3.44
Sehithwa,0,BW,1632689037,19,-20.4667,22.7167,73.63,6.42
Baishishan,100,CN,1632689037,94,43.5833,127.5667,57.29,2.01
Beyneu,0,KZ,1632688876,68,45.3167,55.2,57.0,14.18
Salinópolis,100,BR,1632689037,76,-0.6136,-47.3561,80.92,14.16
Libreville,40,GA,1632689038,83,0.3925,9.4537,80.62,8.05
Utica,17,US,1632688741,59,43.1009,-75.2327,68.81,1.01
Russell,1,US,1632688776,42,32.3502,-85.1999,83.48,3.44
Santo Antônio do Içá,83,BR,1632689038,80,-3.1022,-67.9397,81.88,0.74
Uyuni,0,BO,1632689039,6,-20.4597,-66.825,60.49,11.54
Pomabamba,80,PE,1632689039,39,-8.8333,-77.4667,63.55,7.83
Yangi Marg`ilon,0,UZ,1632689039,26,40.4272,71.7189,68.72,6.91
Araouane,8,ML,1632689040,8,18.9048,-3.5265,95.14,9.55
Valdivia,10,CL,1632689040,52,-39.8142,-73.2459,57.29,1.74
Dawson Creek,75,CA,1632689040,82,55.7666,-120.2362,56.84,0.0
Pangnirtung,20,CA,1632689041,80,66.1451,-65.7125,33.8,8.05
Lusambo,89,CD,1632689041,78,-4.9667,23.45,73.04,1.39
Şincai,28,RO,1632689041,94,46.65,24.3833,52.99,2.75
Rocha,6,UY,1632688826,83,-34.4833,-54.3333,61.72,6.62
Madang,100,PG,1632689042,92,-5.2246,145.7966,76.87,2.06
Nānākuli,40,US,1632689043,69,21.3906,-158.1547,84.15,13.8
Tura,73,IN,1632688810,84,25.5198,90.2201,76.44,2.66
Prince Albert,75,CA,1632689043,42,53.2001,-105.7677,66.15,9.22
General Roca,76,AR,1632689043,16,-39.0333,-67.5833,61.2,0.63
Diego de Almagro,0,CL,1632689044,18,-26.3667,-70.05,79.41,7.0
Alice Springs,17,AU,1632689044,16,-23.7,133.8833,69.35,5.75
Sudislavl',95,RU,1632689044,95,57.8817,41.7083,45.45,7.83
Solnechnyy,77,RU,1632689045,89,50.7214,136.6319,46.54,3.78
Carauari,66,BR,1632689045,59,-4.8828,-66.8958,87.96,1.12
Maceió,40,BR,1632688928,69,-9.6658,-35.7353,83.64,12.66
Bogo,69,PH,1632689046,81,11.0517,124.0055,78.75,1.97
Luganville,97,VU,1632689046,84,-15.5333,167.1667,76.96,9.28
Virginia Beach,20,US,1632689002,43,36.8529,-75.978,77.09,8.05
Teteven,0,BG,1632689047,58,42.9167,24.2667,60.53,3.47
Inírida,98,CO,1632689047,74,3.8653,-67.9239,83.55,1.25
Oistins,40,BB,1632689047,66,13.0667,-59.5333,87.89,9.22
Galveston,1,US,1632689048,63,29.3669,-94.9669,87.22,1.01
Lebedyn,6,UA,1632689048,87,50.5852,34.4849,45.81,11.1
Bentiu,11,SS,1632689048,91,9.2333,29.8333,72.34,3.22
Mogadishu,16,SO,1632689049,81,2.0371,45.3438,77.95,18.92
Soyo,86,AO,1632689049,84,-6.1349,12.3689,75.36,9.19
Arica,0,CL,1632689049,67,-18.475,-70.3042,71.15,10.36
Verkhoyansk,75,RU,1632689050,89,67.5447,133.385,30.52,2.82
Huadian,100,CN,1632689050,93,42.9633,126.7478,59.11,0.83
Tabas,0,IR,1632689050,34,33.5959,56.9244,76.82,8.28
Khandyga,17,RU,1632689051,92,62.6667,135.6,30.43,2.42
Pizarro,61,CO,1632689051,76,4.9533,-77.366,82.17,8.12
Bereket,22,TM,1632689051,65,39.2446,55.5154,61.5,1.81
Maragogi,34,BR,1632689052,86,-9.0122,-35.2225,75.56,12.48
Rockhampton,40,AU,1632689039,82,-23.3833,150.5,66.09,4.61
Novi Pazar,0,RS,1632689052,55,43.1367,20.5122,62.51,2.53
Dali,72,CN,1632689052,92,25.7,100.1833,58.24,2.75
Tuy Hoa,29,VN,1632689053,92,13.0833,109.3,75.96,3.87
Dingle,62,PH,1632689053,92,10.9995,122.6711,75.34,2.08
Ahipara,100,NZ,1632689053,71,-35.1667,173.1667,54.55,8.12
Luebo,96,CD,1632689054,77,-5.35,21.4167,73.9,0.92
Lamu,8,KE,1632689054,80,-2.2717,40.902,77.22,16.53
Robertsport,100,LR,1632689054,87,6.7533,-11.3686,77.7,10.38
Totness,40,SR,1632689055,77,5.8833,-56.3167,82.81,10.47
Dehui,100,CN,1632689055,90,44.5333,125.7,62.91,11.74
Shirokiy,100,RU,1632689055,81,49.758,129.523,54.14,14.9
Port Hedland,6,AU,1632689056,77,-20.3167,118.5667,62.65,6.91
Glendive,1,US,1632689056,23,47.1053,-104.7125,88.52,3.44
Minas,5,UY,1632689056,70,-34.3759,-55.2377,66.67,3.0
Coria,99,ES,1632689057,59,39.9879,-6.5377,66.45,0.72
Zharkent,0,KZ,1632689057,17,44.1628,80.0,58.59,5.48
Acapulco de Juárez,67,MX,1632688869,69,16.8634,-99.8901,86.07,7.25
San Jose,75,US,1632688810,47,37.3394,-121.895,80.49,6.91
Odoyev,96,RU,1632689058,89,53.9393,36.6864,47.12,13.53
Pringsewu,63,ID,1632689058,96,-5.3582,104.9744,72.59,2.57
Mossamedes,27,AO,1632689058,85,-15.1961,12.1522,62.4,3.24
Tsabong,5,BW,1632689059,15,-26.0217,22.401,73.99,2.42
Khabary,86,RU,1632689059,85,53.6259,79.5345,34.38,4.16
Megion,6,RU,1632689059,85,61.0296,76.1136,30.22,8.21
Roebourne,5,AU,1632689060,44,-20.7833,117.1333,68.43,11.99
Singaraja,46,ID,1632689060,81,-8.112,115.0882,77.97,5.53
Skjervøy,100,NO,1632689060,77,70.0311,20.9714,50.7,12.53
Along,85,IN,1632689061,97,28.1667,94.7667,70.14,2.17
Kuala Terengganu,40,MY,1632689061,94,5.3302,103.1408,76.95,3.44
Solwezi,67,ZM,1632689061,31,-12.1688,26.3894,69.73,2.59
Piaçabuçu,11,BR,1632689062,84,-10.4056,-36.4344,76.01,11.27
George Town,40,MY,1632689062,94,5.4112,100.3354,76.95,3.0
Pittsburg,1,US,1632688851,52,38.028,-121.8847,79.29,3.0
‘Āhuimanu,75,US,1632689063,68,21.4447,-157.8378,83.91,12.66
Beian,0,NO,1632689063,72,63.6559,9.5683,59.09,18.41
General Artigas,0,PY,1632689063,41,-26.9333,-56.2167,87.69,6.13
Urusha,95,RU,1632689064,92,54.05,122.9,46.9,11.18
Taltal,25,CL,1632689064,69,-25.4,-70.4833,64.62,6.82
Tekkali,100,IN,1632689064,93,18.6167,84.2333,78.46,8.93
Rudnyy,100,KZ,1632689065,34,52.9594,63.1206,48.45,22.59
Arkhipo-Osipovka,100,RU,1632689065,86,44.37,38.52,62.71,14.97
Warragul,3,AU,1632689065,78,-38.1667,145.9333,47.64,1.74
Bella Union,0,UY,1632689066,60,-30.2752,-57.6007,73.74,6.6
Río Gallegos,40,AR,1632688891,29,-51.6226,-69.2181,50.05,17.27
Inhambane,0,MZ,1632689066,92,-23.865,35.3833,71.69,8.5
Port Macquarie,96,AU,1632689067,62,-31.4333,152.9167,55.89,2.17
Burgersdorp,0,ZA,1632689067,16,-30.9977,26.3286,64.71,3.02
Ekangala,6,ZA,1632689067,33,-25.6962,28.7492,75.18,11.79
Fonte Boa,68,BR,1632689068,89,-2.4959,-66.2662,76.33,3.98
Bontang,55,ID,1632689068,91,0.1333,117.5,76.12,5.19
Manduria,14,IT,1632689068,67,40.4018,17.6335,73.31,3.83
Kerema,93,PG,1632689069,89,-7.9631,145.7785,77.95,3.44
Feijó,79,BR,1632689069,49,-8.1642,-70.3536,88.32,3.4
Arroio Grande,1,BR,1632689069,83,-32.2375,-53.0869,64.58,7.7
Hay River,75,CA,1632688936,76,60.8156,-115.7999,48.16,9.22
Villa Guerrero,97,MX,1632689070,76,18.8667,-99.65,79.18,3.13
Port-Gentil,75,GA,1632689070,83,-0.7193,8.7815,78.76,10.36
Yerbogachën,100,RU,1632689071,95,61.2767,108.0108,31.93,14.0
Kamenka,72,RU,1632689071,90,51.3223,42.7678,47.05,14.18
São Desidério,100,BR,1632689072,27,-12.3633,-44.9733,87.53,3.65
Pahrump,1,US,1632689072,24,36.2083,-115.9839,92.68,5.01
Calamar,100,CO,1632689072,64,10.2511,-74.9146,89.55,14.16
Zhengjiatun,100,CN,1632689072,94,43.5064,123.5064,62.87,13.11
Ejura,92,GH,1632689073,93,7.3856,-1.3562,72.48,3.87
Yenagoa,100,NG,1632689073,92,4.9247,6.2642,75.07,4.34
Jōetsu,49,JP,1632689074,79,37.1483,138.2364,66.72,8.32
Smithers,75,CA,1632689074,72,54.7804,-127.1743,61.12,6.91
Nur-Sultan,0,KZ,1632688874,42,51.1801,71.446,42.75,20.13
Harper,100,LR,1632689074,91,4.375,-7.7169,75.69,7.38
Road Town,20,VG,1632688910,62,18.4167,-64.6167,89.64,5.75
Baykit,100,RU,1632689075,82,61.67,96.37,35.73,8.03
Clarence Town,8,AU,1632689075,80,-32.5833,151.7833,54.81,2.04
Yumen,45,CN,1632689075,23,40.2833,97.2,59.07,9.22
